x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-4.205000E-03,+7.627015365E+00,+7.541688649E+00,+7.423994973E+00,+24.900E-06
-4.200000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-75.231448E-03
-4.195000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.190000E-03,+7.476261595E+00,+7.591939906E+00,+7.423994973E+00,-25.060549E-03
-4.185000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.180000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.175000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,+175.623044E-03
-4.170000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.165000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.160000E-03,+7.501387224E+00,+7.340683622E+00,+7.423994973E+00,-50.145999E-03
-4.155000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.150000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.145000E-03,+7.501387224E+00,+7.541688649E+00,+7.423994973E+00,-125.402346E-03
-4.140000E-03,+7.375759082E+00,+7.340683622E+00,+7.423994973E+00,-50.145999E-03
-4.135000E-03,+7.325507825E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.130000E-03,+7.501387224E+00,+7.441186136E+00,+7.423994973E+00,+24.900E-06
-4.125000E-03,+7.501387224E+00,+7.416060507E+00,+7.298366832E+00,-75.231448E-03
-4.120000E-03,+7.501387224E+00,+7.416060507E+00,+7.222989947E+00,-125.402346E-03
-4.115000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.110000E-03,+7.501387224E+00,+7.591939906E+00,+7.423994973E+00,-175.573245E-03
-4.105000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.100000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-75.231448E-03
-4.095000E-03,+7.677266622E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.090000E-03,+7.501387224E+00,+7.416060507E+00,+7.248115575E+00,-200.658694E-03
-4.085000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.080000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-125.402346E-03
-4.075000E-03,+7.501387224E+00,+7.441186136E+00,+7.398869345E+00,-200.658694E-03
-4.070000E-03,+7.476261595E+00,+7.441186136E+00,+7.423994973E+00,-200.658694E-03
-4.065000E-03,+7.375759082E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.060000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-75.231448E-03
-4.055000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.050000E-03,+7.476261595E+00,+7.416060507E+00,+7.423994973E+00,-200.658694E-03
-4.045000E-03,+7.576764109E+00,+7.416060507E+00,+7.348618088E+00,-200.658694E-03
-4.040000E-03,+7.576764109E+00,+7.491437392E+00,+7.423994973E+00,-125.402346E-03
-4.035000E-03,+7.501387224E+00,+7.240181109E+00,+7.398869345E+00,+150.537595E-03
-4.030000E-03,+7.501387224E+00,+7.416060507E+00,+7.423994973E+00,-175.573245E-03
-4.025000E-03,+7.501387224E+00,+7.416060507E+00,+7.348618088E+00,-75.231448E-03
-4.020000E-03,+7.375759082E+00,+7.416060507E+00,+7.423994973E+00,+24.900E-06
-4.015000E-03,+7.501387224E+00,+7.416060507E+00,+7.449120602E+00,-175.573245E-03
-4.010000E-03,+7.325507825E+00,+7.416060507E+00,+7.423994973E+00,-25.060549E-03
