x-axis,F1
second,Volt
-1.963600E-03,-39.108097E-03
-1.959000E-03,-48.244237E-03
-1.954400E-03,+27.833632E-03
-1.949800E-03,-39.092759E-03
-1.945200E-03,-25.749429E-03
-1.940600E-03,-8.229588E-03
-1.936000E-03,-8.229588E-03
-1.931400E-03,-30.739735E-03
-1.926800E-03,+27.864516E-03
-1.922200E-03,-39.062081E-03
-1.917600E-03,-30.755074E-03
-1.913000E-03,-48.244237E-03
-1.908400E-03,-39.046742E-03
-1.903800E-03,+37.003342E-03
-1.899200E-03,-48.244237E-03
-1.894600E-03,-48.244237E-03
-1.890000E-03,-30.785752E-03
-1.885400E-03,-48.244237E-03
-1.880800E-03,-39.016064E-03
-1.876200E-03,-8.229588E-03
-1.871600E-03,-2.438E-06
-1.867000E-03,-20.451664E-03
-1.862400E-03,-8.229588E-03
-1.857800E-03,-44.159759E-03
-1.853200E-03,-17.488439E-03
-1.848600E-03,-25.642057E-03
-1.844000E-03,-44.175098E-03
-1.839400E-03,-17.503778E-03
-1.834800E-03,-30.847107E-03
-1.830200E-03,-4.148581E-03
-1.825600E-03,-38.954709E-03
-1.821000E-03,-48.244237E-03
-1.816400E-03,-125.561E-06
-1.811800E-03,-38.939370E-03
-1.807200E-03,+19.852355E-03
-1.802600E-03,+63.995019E-03
-1.798000E-03,+53.365300E-03
-1.793400E-03,-30.893124E-03
-1.788800E-03,-40.201772E-03
-1.784200E-03,+22.655416E-03
-1.779600E-03,+54.732491E-03
-1.775000E-03,+28.034376E-03
-1.770400E-03,-38.893353E-03
-1.765800E-03,-25.550024E-03
-1.761200E-03,-248.684E-06
-1.756600E-03,+32.053616E-03
-1.752000E-03,-2.672719E-03
-1.747400E-03,-279.465E-06
-1.742800E-03,+1.214938E-03
-1.738200E-03,-8.229588E-03
-1.733600E-03,+72.068265E-03
-1.729000E-03,+32.053616E-03
-1.724400E-03,+3.694955E-03
-1.719800E-03,+35.984705E-03
-1.715200E-03,+62.656025E-03
-1.710600E-03,+72.068265E-03
-1.706000E-03,+35.969366E-03
-1.701400E-03,+32.053616E-03
-1.696800E-03,+54.824524E-03
-1.692200E-03,+64.241265E-03
-1.687600E-03,-17.672506E-03
-1.683000E-03,+54.839863E-03
-1.678400E-03,+68.183192E-03
-1.673800E-03,+10.750403E-03
-1.669200E-03,+49.266679E-03
-1.664600E-03,-40.478798E-03
-1.660000E-03,+62.594670E-03
-1.655400E-03,-25.427313E-03
-1.650800E-03,+72.068265E-03
-1.646200E-03,+72.068265E-03
-1.641600E-03,+72.068265E-03
-1.637000E-03,+60.525331E-03
-1.632400E-03,+32.053616E-03
-1.627800E-03,+54.901219E-03
-1.623200E-03,-36.747423E-03
-1.618600E-03,+52.965151E-03
-1.614000E-03,+49.205324E-03
-1.609400E-03,-4.395650E-03
-1.604800E-03,+41.588567E-03
-1.600200E-03,+49.189985E-03
-1.595600E-03,+32.053616E-03
-1.591000E-03,+32.053616E-03
-1.586400E-03,-2.303350E-03
-1.581800E-03,+28.250562E-03
-1.577200E-03,+22.423788E-03
-1.572600E-03,+72.068265E-03
-1.568000E-03,+28.266003E-03
-1.563400E-03,-19.437033E-03
-1.558800E-03,+32.053616E-03
-1.554200E-03,+35.800639E-03
-1.549600E-03,+41.649922E-03
-1.545000E-03,+72.068265E-03
-1.540400E-03,+35.785300E-03
-1.535800E-03,+41.665261E-03
-1.531200E-03,+32.053616E-03
-1.526600E-03,+72.068265E-03
-1.522000E-03,+41.680600E-03
-1.517400E-03,+14.894889E-03
-1.512800E-03,+72.068265E-03
-1.508200E-03,+12.704256E-03
-1.503600E-03,+55.039268E-03
-1.499000E-03,+35.739283E-03
-1.494400E-03,+41.711278E-03
-1.489800E-03,+55.054607E-03
-1.485200E-03,+64.702975E-03
-1.480600E-03,-19.160315E-03
-1.476000E-03,+72.068265E-03
-1.471400E-03,+72.068265E-03
-1.466800E-03,+72.068265E-03
-1.462200E-03,+72.068265E-03
-1.457600E-03,+72.068265E-03
-1.453000E-03,+32.053616E-03
-1.448400E-03,+72.068265E-03
-1.443800E-03,+32.053616E-03
-1.439200E-03,+51.556879E-03
-1.434600E-03,+72.068265E-03
-1.430000E-03,+72.068265E-03
-1.425400E-03,+42.799864E-03
-1.420800E-03,+72.068265E-03
-1.416200E-03,+35.647250E-03
-1.411600E-03,+72.068265E-03
-1.407000E-03,+48.975240E-03
-1.402400E-03,+72.068265E-03
-1.397800E-03,+32.053616E-03
-1.393200E-03,+48.959901E-03
-1.388600E-03,+35.616572E-03
-1.384000E-03,+32.053616E-03
-1.379400E-03,+72.068265E-03
-1.374800E-03,+68.520648E-03
-1.370200E-03,+41.849328E-03
-1.365600E-03,+55.192657E-03
-1.361000E-03,+72.068265E-03
-1.356400E-03,+72.068265E-03
-1.351800E-03,+48.913885E-03
-1.347200E-03,+68.551326E-03
-1.342600E-03,+62.241875E-03
-1.338000E-03,+32.053616E-03
-1.333400E-03,+72.068265E-03
-1.328800E-03,+72.068265E-03
-1.324200E-03,+32.053616E-03
-1.319600E-03,+72.068265E-03
-1.315000E-03,+62.211198E-03
-1.310400E-03,+72.068265E-03
-1.305800E-03,+32.053616E-03
-1.301200E-03,+72.068265E-03
-1.296600E-03,+72.068265E-03
-1.292000E-03,+68.612681E-03
-1.287400E-03,+122.636522E-03
-1.282800E-03,+72.068265E-03
-1.278200E-03,+35.493861E-03
-1.273600E-03,+41.956700E-03
-1.269000E-03,+72.068265E-03
-1.264400E-03,+72.068265E-03
-1.259800E-03,+132.462706E-03
-1.255200E-03,+55.315368E-03
-1.250600E-03,+72.068265E-03
-1.246000E-03,+72.068265E-03
-1.241400E-03,+48.791174E-03
-1.236800E-03,+72.068265E-03
-1.232200E-03,+62.119164E-03
-1.227600E-03,+48.775835E-03
-1.223000E-03,+72.068265E-03
-1.218400E-03,+72.068265E-03
-1.213800E-03,+48.760496E-03
-1.209200E-03,+68.704714E-03
-1.204600E-03,+62.088486E-03
-1.200000E-03,+55.376724E-03
-1.195400E-03,+72.068265E-03
-1.190800E-03,+32.053616E-03
-1.186200E-03,+72.068265E-03
-1.181600E-03,+68.735392E-03
-1.177000E-03,+62.057809E-03
-1.172400E-03,+48.714479E-03
-1.167800E-03,+72.068265E-03
-1.163200E-03,+72.068265E-03
-1.158600E-03,+72.068265E-03
-1.154000E-03,+72.068265E-03
-1.149400E-03,+72.068265E-03
-1.144800E-03,+55.438080E-03
-1.140200E-03,+35.340472E-03
-1.135600E-03,+42.110089E-03
-1.131000E-03,+55.453418E-03
-1.126400E-03,+72.068265E-03
-1.121800E-03,+42.125428E-03
